epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,608.044,1.3951,2.79654,1.50279,0.45441,0.38299,0.36634,0.17359,1.79897,2.53781,1.78739,0.00023654,0.00023654,0.00023654
2,1203.47,1.29133,1.85927,1.44351,0.51948,0.45161,0.4441,0.21447,1.75232,2.06949,1.74265,0.000465144,0.000465144,0.000465144
3,1795.33,1.25048,1.69287,1.41628,0.59211,0.43907,0.47001,0.21677,1.93793,2.09935,1.91874,0.000684323,0.000684323,0.000684323
4,2387.72,1.24174,1.59266,1.38691,0.61159,0.53061,0.53009,0.24783,1.82393,1.88339,1.83689,0.000671588,0.000671588,0.000671588
5,2977.87,1.20677,1.51888,1.3672,0.65665,0.49538,0.53514,0.23922,1.92215,1.90956,1.88362,0.000657451,0.000657451,0.000657451
6,3566.9,1.18188,1.45077,1.34678,0.64676,0.52109,0.54555,0.2368,1.92227,1.79798,1.90262,0.000643314,0.000643314,0.000643314
7,4156.09,1.1729,1.39645,1.33738,0.70945,0.5229,0.57664,0.24542,1.8983,1.77188,1.89054,0.000629177,0.000629177,0.000629177
8,4743.64,1.15298,1.35176,1.3191,0.72125,0.5591,0.58849,0.26256,1.91486,1.62433,1.84663,0.00061504,0.00061504,0.00061504
9,5333.55,1.14239,1.30475,1.30264,0.80332,0.54707,0.63465,0.28475,1.86,1.50935,1.81188,0.000600902,0.000600902,0.000600902
10,5920.39,1.11519,1.27759,1.29159,0.67804,0.54612,0.59918,0.29007,1.82717,1.61986,1.75964,0.000586765,0.000586765,0.000586765
11,6507.01,1.10826,1.23208,1.28046,0.74888,0.57031,0.62228,0.30396,1.78237,1.5313,1.7592,0.000572628,0.000572628,0.000572628
12,7092.73,1.09887,1.20539,1.2778,0.76981,0.54185,0.61699,0.31192,1.71966,1.46029,1.69354,0.000558491,0.000558491,0.000558491
13,7679.52,1.08162,1.16464,1.26602,0.806,0.58912,0.66998,0.33587,1.70215,1.4129,1.70949,0.000544354,0.000544354,0.000544354
14,8265.93,1.0859,1.15036,1.26193,0.74371,0.55363,0.63093,0.31251,1.7574,1.38982,1.74553,0.000530216,0.000530216,0.000530216
15,8851.89,1.07209,1.1327,1.25738,0.77351,0.60884,0.65979,0.34251,1.65469,1.32613,1.65209,0.000516079,0.000516079,0.000516079
16,9436.8,1.06013,1.11252,1.24362,0.76339,0.61465,0.68078,0.34556,1.71089,1.28431,1.70764,0.000501942,0.000501942,0.000501942
