epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3341,0.82711,0.61748,1.06476,0.92356,0.76163,0.84158,0.6208,0.76946,0.45893,0.91071,0.000236183,0.000236183,0.000236183
2,90.6704,0.83687,0.63788,1.07685,0.91245,0.7425,0.82839,0.5895,0.85665,0.52018,0.96179,0.000458535,0.000458535,0.000458535
3,133.419,0.86821,0.67877,1.09567,0.88923,0.73949,0.81291,0.56928,0.9004,0.5567,0.99069,0.000665179,0.000665179,0.000665179
4,177.35,0.87189,0.69254,1.10062,0.89997,0.72553,0.81213,0.5752,0.86716,0.55118,0.97488,0.000643314,0.000643314,0.000643314
5,219.362,0.87046,0.7004,1.10393,0.89577,0.73359,0.81699,0.56434,0.91786,0.55388,1.00404,0.000619752,0.000619752,0.000619752
6,261.82,0.87841,0.69898,1.10289,0.88152,0.7232,0.79652,0.54881,0.92381,0.60307,1.0125,0.00059619,0.00059619,0.00059619
7,305.458,0.87689,0.70352,1.1109,0.89548,0.7305,0.81375,0.57361,0.89342,0.55713,0.98878,0.000572628,0.000572628,0.000572628
8,348.262,0.87355,0.69716,1.10216,0.88963,0.73392,0.81218,0.56422,0.89864,0.57228,0.99451,0.000549066,0.000549066,0.000549066
9,391.115,0.8715,0.69224,1.1014,0.89086,0.72847,0.806,0.54882,0.9509,0.58345,1.02634,0.000525504,0.000525504,0.000525504
10,435.259,0.8671,0.69339,1.0995,0.90168,0.72186,0.80837,0.56131,0.91559,0.56897,1.00097,0.000501942,0.000501942,0.000501942
11,478.512,0.84653,0.68913,1.09393,0.90251,0.73712,0.81414,0.57091,0.90381,0.55958,0.9975,0.00047838,0.00047838,0.00047838
12,522.621,0.85579,0.68261,1.09337,0.91218,0.73388,0.81919,0.58042,0.86534,0.54659,0.97618,0.000454818,0.000454818,0.000454818
13,566.728,0.84411,0.67344,1.0895,0.89735,0.74636,0.8196,0.57975,0.87013,0.53782,0.97766,0.000431256,0.000431256,0.000431256
14,610.546,0.8411,0.67155,1.08721,0.88973,0.74239,0.81615,0.56636,0.89566,0.54856,0.99641,0.000407694,0.000407694,0.000407694
15,655.534,0.84397,0.66894,1.09032,0.88675,0.7387,0.81481,0.56742,0.89829,0.54513,0.99265,0.000384132,0.000384132,0.000384132
16,698.744,0.82542,0.659,1.08142,0.90219,0.73948,0.81655,0.57999,0.86053,0.52689,0.97077,0.00036057,0.00036057,0.00036057
17,743.4,0.8242,0.64795,1.07818,0.90765,0.73455,0.81744,0.58045,0.86159,0.52872,0.96786,0.000337008,0.000337008,0.000337008
18,786.45,0.82267,0.64754,1.07772,0.90041,0.74046,0.81805,0.58156,0.85368,0.52338,0.96883,0.000313446,0.000313446,0.000313446
19,829.111,0.8076,0.6381,1.06966,0.90901,0.74377,0.82478,0.59012,0.83684,0.51264,0.95812,0.000289884,0.000289884,0.000289884
20,872.716,0.79836,0.62942,1.06514,0.9195,0.74298,0.82359,0.59576,0.82432,0.50648,0.95294,0.000266322,0.000266322,0.000266322
21,915.523,0.80538,0.5578,1.06526,0.90245,0.73871,0.81939,0.58355,0.84002,0.51486,0.9604,0.00024276,0.00024276,0.00024276
22,956.414,0.7841,0.54061,1.06339,0.90621,0.75285,0.82583,0.59281,0.83866,0.50584,0.95964,0.000219198,0.000219198,0.000219198
23,996.617,0.77282,0.5226,1.04534,0.90856,0.74791,0.8262,0.59045,0.83603,0.50269,0.95648,0.000195636,0.000195636,0.000195636
24,1036.94,0.76433,0.51677,1.04132,0.91503,0.74372,0.82812,0.59748,0.81917,0.49196,0.94766,0.000172074,0.000172074,0.000172074
25,1077.6,0.75377,0.50909,1.0377,0.90919,0.74927,0.82976,0.60074,0.80883,0.4891,0.94101,0.000148512,0.000148512,0.000148512
26,1117.5,0.75126,0.50857,1.03615,0.91737,0.74664,0.831,0.59972,0.81544,0.48631,0.94362,0.00012495,0.00012495,0.00012495
27,1157.76,0.74157,0.5014,1.03266,0.91199,0.7535,0.83149,0.60392,0.80708,0.4816,0.94019,0.000101388,0.000101388,0.000101388
28,1197.99,0.73403,0.49565,1.02541,0.91042,0.75695,0.83252,0.60745,0.79186,0.47684,0.93086,7.7826e-05,7.7826e-05,7.7826e-05
29,1238.27,0.72573,0.4901,1.02578,0.91218,0.75456,0.83241,0.6101,0.78921,0.4727,0.92852,5.4264e-05,5.4264e-05,5.4264e-05
30,1279.09,0.72111,0.49001,1.0218,0.90987,0.75422,0.83212,0.60965,0.79163,0.47123,0.93021,3.0702e-05,3.0702e-05,3.0702e-05
