epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6615,1.39376,2.82543,1.48371,0.42342,0.41792,0.38052,0.18874,1.65782,2.08377,1.69263,0.00023654,0.00023654,0.00023654
2,99.5045,1.28302,1.873,1.43135,0.60042,0.48583,0.535,0.29393,1.56316,1.69234,1.65735,0.000465144,0.000465144,0.000465144
3,145.808,1.26257,1.70014,1.39943,0.60363,0.44611,0.50303,0.28169,1.60548,1.7412,1.70345,0.000684323,0.000684323,0.000684323
4,192.978,1.21205,1.60603,1.37248,0.65026,0.53557,0.58214,0.32125,1.55038,1.62555,1.63685,0.000671588,0.000671588,0.000671588
5,239.138,1.18424,1.51246,1.34269,0.69554,0.55603,0.63829,0.35088,1.48619,1.4532,1.58352,0.000657451,0.000657451,0.000657451
6,286.341,1.16373,1.45815,1.32569,0.70039,0.56326,0.64336,0.35827,1.50523,1.45332,1.62035,0.000643314,0.000643314,0.000643314
7,332.093,1.13861,1.40203,1.30709,0.70736,0.56788,0.63153,0.33608,1.51842,1.47485,1.62157,0.000629177,0.000629177,0.000629177
8,379.385,1.13387,1.35602,1.2986,0.71766,0.57444,0.64812,0.37126,1.43322,1.40802,1.52774,0.00061504,0.00061504,0.00061504
9,425.002,1.10339,1.31145,1.28045,0.73455,0.59789,0.68185,0.40475,1.37727,1.35301,1.53115,0.000600902,0.000600902,0.000600902
10,471.294,1.09985,1.28702,1.27387,0.7632,0.58938,0.69796,0.40547,1.4027,1.33543,1.53234,0.000586765,0.000586765,0.000586765
11,516.748,1.08001,1.25134,1.26463,0.82221,0.61436,0.73165,0.44637,1.27667,1.26556,1.44336,0.000572628,0.000572628,0.000572628
12,563.447,1.07367,1.21479,1.25267,0.80164,0.64305,0.74132,0.45961,1.2767,1.1838,1.44723,0.000558491,0.000558491,0.000558491
13,611.348,1.05952,1.18283,1.24784,0.79418,0.61842,0.7238,0.43301,1.375,1.31489,1.48889,0.000544354,0.000544354,0.000544354
14,657.661,1.05535,1.1658,1.23946,0.79818,0.63766,0.73945,0.44326,1.35879,1.19208,1.47221,0.000530216,0.000530216,0.000530216
15,703.893,1.04163,1.14933,1.23162,0.77499,0.66414,0.74566,0.46544,1.2922,1.15117,1.4658,0.000516079,0.000516079,0.000516079
16,749.316,1.01815,1.11232,1.21927,0.83967,0.67107,0.77203,0.48147,1.23457,1.09816,1.42977,0.000501942,0.000501942,0.000501942
17,795.909,1.01027,1.09283,1.21219,0.7882,0.69262,0.76593,0.48738,1.21368,1.12527,1.40443,0.000487805,0.000487805,0.000487805
18,841.347,1.00993,1.07883,1.20556,0.78898,0.68595,0.76785,0.48833,1.20061,1.09153,1.37142,0.000473668,0.000473668,0.000473668
19,888.869,0.99981,1.06726,1.2033,0.83145,0.68834,0.78413,0.50855,1.15708,1.03218,1.35283,0.00045953,0.00045953,0.00045953
20,936.731,0.99744,1.0528,1.19898,0.84547,0.68719,0.79861,0.51226,1.17247,1.05209,1.35772,0.000445393,0.000445393,0.000445393
21,984.335,0.98796,1.03725,1.19645,0.84,0.65914,0.77345,0.50978,1.13323,1.06191,1.32132,0.000431256,0.000431256,0.000431256
22,1032.58,0.97243,1.01408,1.18344,0.79453,0.70139,0.79181,0.52405,1.11157,1.00716,1.3163,0.000417119,0.000417119,0.000417119
23,1080.05,0.96392,0.99958,1.17843,0.8476,0.68275,0.79614,0.52278,1.10556,0.97697,1.31718,0.000402982,0.000402982,0.000402982
24,1129.59,0.9646,0.99327,1.1768,0.85081,0.68302,0.80032,0.52486,1.17243,0.99105,1.3602,0.000388844,0.000388844,0.000388844
25,1178.96,0.9395,0.9636,1.1705,0.85772,0.67923,0.7928,0.54327,1.09099,0.99114,1.30714,0.000374707,0.000374707,0.000374707
26,1225.22,0.94388,0.95395,1.16354,0.86932,0.69353,0.80812,0.54853,1.08672,0.97024,1.30189,0.00036057,0.00036057,0.00036057
27,1271.69,0.93485,0.93934,1.15658,0.87401,0.71708,0.82148,0.54441,1.08687,0.92418,1.29772,0.000346433,0.000346433,0.000346433
28,1316.91,0.92524,0.91865,1.15433,0.91625,0.68037,0.83135,0.54377,1.1483,0.94167,1.34106,0.000332296,0.000332296,0.000332296
29,1364.47,0.93213,0.92292,1.15233,0.88955,0.71618,0.83342,0.56898,1.07101,0.91996,1.29765,0.000318158,0.000318158,0.000318158
30,1410.39,0.91885,0.9088,1.14625,0.88701,0.70778,0.82678,0.56883,1.07904,0.90581,1.30226,0.000304021,0.000304021,0.000304021
31,1456.61,0.91118,0.89124,1.14055,0.88412,0.71577,0.82731,0.55495,1.07431,0.91853,1.29612,0.000289884,0.000289884,0.000289884
32,1502.36,0.90428,0.88775,1.13751,0.82599,0.75045,0.83675,0.57771,1.04862,0.88609,1.26972,0.000275747,0.000275747,0.000275747
33,1549.11,0.89876,0.87868,1.13622,0.87602,0.72811,0.83437,0.5742,1.03284,0.85919,1.25892,0.00026161,0.00026161,0.00026161
34,1594.16,0.89171,0.86346,1.12965,0.90488,0.71853,0.84853,0.58575,1.02902,0.8681,1.24517,0.000247472,0.000247472,0.000247472
35,1640.66,0.88915,0.85302,1.12489,0.88391,0.73186,0.84534,0.59338,1.00469,0.85699,1.23953,0.000233335,0.000233335,0.000233335
36,1685.39,0.88287,0.8518,1.12579,0.86305,0.74795,0.84479,0.59055,0.99713,0.8569,1.23811,0.000219198,0.000219198,0.000219198
37,1731.76,0.88057,0.85061,1.12223,0.88662,0.7177,0.8453,0.5933,1.01074,0.8381,1.236,0.000205061,0.000205061,0.000205061
38,1778,0.86937,0.83752,1.1198,0.85242,0.74108,0.84957,0.59879,0.98211,0.82155,1.22394,0.000190924,0.000190924,0.000190924
39,1826.3,0.87305,0.83434,1.1184,0.86584,0.74725,0.84357,0.60115,0.98701,0.83572,1.22472,0.000176786,0.000176786,0.000176786
40,1873.25,0.85858,0.81047,1.10559,0.90925,0.72367,0.8506,0.60343,0.98779,0.82969,1.22795,0.000162649,0.000162649,0.000162649
